Nome,Instituição,Lider 1,Lider 2,Área
A Comédia de Dante em tradução,UFF,Emanuel França de Brito,,Letras
A Compreensão nos Estudos de Libras,UFPA,Uisis Paula da Silva Gomes,,Lingüística
A Comunicação Pública da Ciência e o Terceiro Setor (ComCienTeS),UFCG,Diogo Lopes de Oliveira,,Comunicação
A condição corporal,PUC/SP,Denise Bernuzzi de Sant'Anna,,História
A CONDIÇÃO DISCENTE,UFPB,Damiao de Lima,,Educação
A Constitucionalidade Democrática do século XXI,UNIUBE,Andréa Queiroz Fabri,,Direito
"A construção da cidade: arquitetura, documentação e crítica",MACKENZIE,Marcos José Carrilho,,Arquitetura e Urbanismo
A construção formal na arquitetura,UFRGS,Edson da Cunha Mahfuz,,Arquitetura e Urbanismo
A Contabilidade e o Compartilhamento da Informação,UNICENTRO,Rita de Cássia Fonseca,,Administração
A corrupção e a delinquência econômica no sistema penal integral contemporâneo,UNESP,Fernando Andrade Fernandes,,Direito
A criança e as Instituições Sociais,UEMS,Giana Amaral Yamin,Débora de Barros Silveira,Educação
"A crônica brasileira: dilemas, paradoxos e soluções de um gênero moderno",UFAM,Esteban Reyes Celedón,Dariana Paula Silva Gadelha,Letras
A CULTURA DA INFÂNCIA NAS POLÍTICAS E PRÁTICAS PEDAGÓGICAS NA EDUCAÇÃO INFANTIL,UPE,Marlene Burégio Freitas,Denize Tomaz de Aquino,Educação
A Defensoria Pública na Efetivação dos Direitos Fundamentais,UCP,Cleber Francisco Alves,,Direito
"A desinformação científica como um problema público: uma proposta de estudo comparativo Argentina, Brasil e Québec/Canadá.",UnB,Fabio Henrique Pereira,Rafiza Luziani Varão Ribeiro Carvalho,Comunicação
"A diáspora por escritas negras: escravidão, liberdade e identidade na historiografia, ensino de história e na literatura",UFRB,Luciana da Cruz Brito,,História
A Dimensão Ético-Moral e o Direito,USP,Rubens Beçak,,Direito
A dinâmica das paisagens em ambientes costeiros,UNICAMP,Regina Célia de Oliveira,,Geografia
A economia do agronegócio no Estado do Amapá,UNIFAP,Cláudia Maria do Socôrro Cruz Fernandes Chelala,,Ciências Ambientais
A Educação Ambiental: teorias e práticas interdisciplinares,UFSM,Holgonsi Soares Gonçalves Siqueira,,Educação
A Educação do Olhar,UFRJ,Maria Angela Dias,Danusa Chini Gani,Arquitetura e Urbanismo
"A educação dos afetos, através da literatura, na formação inicial e continuada do professor e do discente da escola básica",UFSJ,Andréa Portolomeos,,Letras
A educação dos sentidos e o ensino das ciências,PUC/SP,Kazumi Munakata,,Educação
A EDUCAÇÃO E A CIDADE (EDUCIDADE),UNINTER,Alceli Ribeiro Alves,,Educação
A educação em saúde para a inclusão social,UNAERP,Dionéia Motta Monte-Serrat,,Educação
"A Educação Filosófica de Crianças, Adolescentes e Jovens",UEL,Darcisio Natal Muraro,,Educação
A EFETIVIDADE DA CONVENÇÃO INTERNACIONAL DOS DIREITOS DA CRIANÇA NO BRASIL,PUC/SP,Eduardo Dias de Souza Ferreira,,Direito
A efetividade dos direitos fundamentais e a efetivação do direito à saúde,UNISANTA,Renato Braz Mehanna Khamis,,Direito
A Eficácia das decisões judiciais no Brasil e a importância dos precedentes judiciais,ITE,José Luiz Ragazzi,,Direito
A EJA EM CONTEXTO DE PRIVAÇÃO DE LIBERDADE,UFPE,Marcia Regina Barbosa,,Educação
A enfermagem na prevenção e no controle das condições crônicas de saúde,UFC,Marta Maria Coelho Damasceno,José Cláudio Garcia Lira Neto,Enfermagem
A escalada da violência em Juiz de Fora,UFJF,Ellen Cristina Carmo Rodrigues Brandão,,Direito
A Escrita Criativa na Academia,PUCRS,Luiz Antonio de Assis Brasil e Silva,,Letras
A escrita da ausência nas literaturas de língua portuguesa,UNEB,Adriano Eysen Rego,,Letras
A escrita na arte: materialização e dimensões,UERJ,Marcus Alexandre Motta,,Artes
A estrutura e as identidades de álgebras e as suas aplicações,UnB,Victor Petrogradskiy,,Matemática
A etnografia do mato grosso,UNEMAT,Mariza Pereira da Silva,,Lingüística
A expansão da tecnologia de inteligência artificial na prestação jurisdicional e o acesso à justiça,IBMEC,Michele Pedrosa Paumgartten,,Direito
A expansão do Direito Internacional,UFPEL,Ricardo Rocha de Vasconcellos,,Direito
A experiencia dos africanos e seus descendentes no Brasil,UFRGS,Regina Célia Lima Xavier,,História
A Experimentação e o Ensino de Física,UEPB,Valdeci Mestre da Silva Júnior,,Física
A Expressão da Quantificação nas Lí­nguas Naturais,UFSC,Roberta Pires de Oliveira,Ana Lucia de Paula Muller,Lingüística
A Fala-em-interação em Contextos Institucionais e Não-Institucionais,UNISINOS,Ana Cristina Ostermann,Minéia Frezza,Lingüística
A família como unidade de cuidado,UNIFAP,Maria Virgínia Filgueiras de Assis Mello,Anneli Mercedes Celis de Cárdenas,Enfermagem
A Física na Música,UERJ,Maria Lúcia Netto Grillo,Luiz Roberto Perez Lisbôa Baptista,Física
A formação de ordens normativas no plano internacional,FURG,Felipe Kern Moreira,Raquel Fabiana Lopes Sparemberger,Ciência Política
A formação do professor de língua estrangeira,UnB,Maria Luisa Ortíz Alvarez,,Lingüística
A formação do sujeito na era digital,UNESP,Cláudia Dias Prioste,Eliza Maria Barbosa,Educação
A fraseologia e sua equação nas sub-áreas da Lingüística Aplicada,UnB,Maria Luisa Ortíz Alvarez,,Lingüística
A função paterna e sua importância na clínica e na leitura do social,UVA/RJ,José Maurício Teixeira Loures,,Psicologia
A fundamentação da síntese e a teoria da causalidade,UFU,Marcos César Seneda,,Filosofia
A fundamentação Política em Benedictus de Spinoza,UECE,Emanuel Angelo da Rocha Fragoso,Maria Luísa Araújo de Oliveira Monteiro Ribeiro Ferreira,Filosofia
A garantia do mínimo existencial: análise da jurisprudência do STF,IESB,Jose Rossini Campos do Couto Corrêa,André Luiz Santa Cruz Ramos,Direito
A Geografia histórica da espacialização das forças produtivas no Nordeste brasileiro de meados do século XX ao início do século XXI e seus rebatimentos sócioespaciais.,UNIVASF,Átila de Menezes Lima,,Geografia
"A Geomática na Construção Civil, nos Transportes e no Meio Ambiente",UEA,Antonio Estanislau Sanches,Francisco dos Santos Rocha,Geociências
"A gestação da memória, da literatura, da crítica no exílio e outras interlocuções latino-americanas",UFMG,Haydée Ribeiro Coelho,,Letras
A Globalização e Cidadania em perspectiva interdisciplinar,UFSM,Holgonsi Soares Gonçalves Siqueira,,Sociologia
A Governança como forma de Análise de Implementação das Políticas Públicas,UFSM,Breno Augusto Diniz Pereira,Leander Luiz Klein,Administração
A gramatização no Brasil: língua e construção da nacionalidade: 1808 a 1930,FBN,Irineu Eduardo Jones Corrêa,José Carlos Santos de Azeredo,Letras
A gravidade da Imagem: experiência e gesto artístico,UERJ,Luiz Cláudio da Costa,Ana Luzia de Lima Cunha,Artes
"A Guerra Fria nos Países Lusófonos: dependência, transnacionalismo e democracia.",PUCRS,Marçal de Menezes Paredes,,História
A HERMENÊUTICA CONSTITUCIONAL CONCRETIZADORA DOS DIREITOS FUNDAMENTAIS E SEUS REFLEXOS NAS RELAÇÕES SOCIAIS,UFS,Flávia Moreira Guimarães Pessoa,,Direito
A HETEROGENEIDADE DO SENSÍVEL: PROBLEMATIZAÇÕES SOBRE PINTURA NA CONTEMPORANEIDADE,UFPE,Ana Elisabete de Gouveia,Oriana Maria Duarte de Araujo,Artes
A HISTÓRIA DA MATEMÁTICA E SUAS RELAÇÕES COM O ENSINO,UERJ,Cláudia Ferreira Reis Concordido,,Matemática
A História nos quadrinhos: uma análise da apropriação de temas históricos nas HQ's,IFPB,Fabricio de Sousa Morais,,História
A historicidade da ficção,UFMG,Roberto Alexandre do Carmo Said,Aline Magalhães Pinto,Letras
A historiografia da arte no Brasil: os modelos europeus e os dilemas em torno da cultura nacional,UFRJ,Sonia Gomes Pereira,,Artes
"A imigração italiana nas cidades do Rio Grande do Sul e sua ligação com a bacia do Prata. Um modelo de circularidade e transnacionalismo econômico, social, cultural e político",PUCRS,Antonio de Ruggiero,,História
A IMPLEMENTAÇÃO DOS PROCEDIMENTOS CONTÁBEIS PATRIMONIAIS PELAS ENTIDADES MINEIRAS,ECCPPA,Regina Celia Vieira Kelles,,Direito
A inaceitável fome: estratégias e políticas de enfrentamento da insegurança alimentar com base no território,UFPB,Marília Meyer Bregalda,,Saúde Coletiva
A incerteza na tomada de decisão dos indivíduos,UFOP,Frederico César de Vasconcelos Gomes,,Engenharia de Produção
A Inclusão Lingüística em Cenários de Atividades Educacionais - ILCAE,PUC/SP,Angela Brambilla Cavenaghi Themudo Lessa,Sueli Salles Fidalgo,Lingüística
A influência da mídia na saúde única,UNIMAR,Patricia Cincotto dos Santos Bueno,,Saúde Coletiva
A inserção internacional brasileira: projeção global e regional,UFABC,José Blanes Sala,Ana Tereza Lopes Marra de Sousa,Ciência Política
A INTELIGÊNCIA ARTIFICIAL NA EDUCAÇÃO,UniÍTALO,José Luiz Germano Martins,,Educação
A Interdisciplinaridade entre Direito e Cultura - IDC,FMC,Ricardo Manoel de Oliveira Morais,,Direito
A internacionalização do campo do currículo: efeitos na educação brasileira,UCP,Antonio Flavio Barbosa Moreira,,Educação
"A Irlanda no mundo e o mundo na Irlanda: migração e transformações sociais nas literaturas, filmes e demais artes irlandeses no período Pós-Tigre Celta (2008-2020)",UFBA,Noélia Borges de Araújo,,Letras
A leitura como jogo: ensaios sobre literatura,UNIFESP,Rita Jover-Faleiros,Gabriela Rodella de Oliveira,Letras
A literatura do final do século XIX. O Simbolismo: seus antecedentes e repercussões,UNESP,Guacira Marcondes Machado Leite,,Letras
A LITERATURA E OS CIBERCAMINHOS,UniAcademia,Juliana Gervason Defilippo,,Letras
"A Literatura, o Pensamento e a Filosofia",UEMG,Josué Borges de Araújo Godinho,,Letras
"A máscara, o ator e o objeto - Experimentando métodos",UFSC,Maria de Fátima de Souza Moretti,Elisana De Carli,Artes
A MATEMÁTICA NA FORMAÇÃO PROFISSIONAL,PUC/SP,Gabriel Loureiro de Lima,Barbara Lutaif Bianchini,Matemática
A memória do Departamento de Comunicação Social da Ufes,UFES,Victor Israel Gentilli,,Comunicação
A metodologia jurídica na Pós-Modernidade,UFRGS,Alfredo de Jesus Dal Molin Flores,,Direito
A mineralogia como proxy de processos geoquímicos e geológicos,UFF,Carla Semiramis Silveira,,Geociências
"A modernidade ibero-americana, seus impérios e a capitania de Minas Gerais (séculos XVII-XIX) - Espaços, Poder, Cultura e Sociedade",UFMG,Júnia Ferreira Furtado,Márcia Almada,História
A Multimodalidade em Material Didático de Ensino de Línguas,UnB,Janaína de Aquino Ferraz,Tábata Quintana Yonaha,Lingüística
A música de Almeida Prado,UNIRIO,Ingrid Emma Perle Barancoski,Fernando Crespo Corvisier,Artes
"A música de câmara brasileira e seus aspectos pedagógicos, estilísticos e técnico-interpretativos.",UNIRIO,Sergio Azra Barrenechea,,Artes
A natureza multidimensional da segurança alimentar,UFPEL,Flávio Sacco dos Anjos,Nádia Velleda Caldas,Sociologia
A Nossa Voz Em Pauta,UFCSPA,Mauriceia Cassol,,Fonoaudiologia
A OBRA DE JOÃO GUIMARÃES ROSA: PRODUÇÃO E RECEPÇÃO SOB O VIÉS DA ESTÉTICA COGNITIVA,PUC Minas,Márcia Marques de Morais,,Letras
A OBRA DE JOÃO GUIMARÃES ROSA: PRODUÇÃO E RECEPÇÃO SOB O VIÉS DA ESTÉTICA COGNITIVA,PUC Minas,Márcia Marques de Morais,,Letras
"A Paisagem da Cidade Sustentável: arquitetura, ambiente e tecnologia.",MACKENZIE,Pérola Felipette Brocaneli,Carolina Bracco Delgado de Aguilar,Arquitetura e Urbanismo
A Palheta da Clarineta: Aspectos Teóricos e Práticos,UFRN,Amandy Bandeira de Araújo,Joel Luís da Silva Barbosa,Artes
A pesquisa das imagens de arquivo e o desenvolvimento de um método,PUC-Rio,Patricia Furtado Mendes Machado,,Comunicação
"A pessoa com deficiência: avaliação e intervenção especializada nas áreas de educação, saúde e psicologia",MACKENZIE,Silvana Maria Blascovi de Assis,,Educação
A planície de inundação do Alto rio Paraná (PELD-PIAP),UEM,Claudia Costa Bonecker,,Ecologia
A Polissemia da Ação Humana - Uma abordagem filosófica das múltiplas relações constitutivas da condição humana,UFPE,Washington Luiz Martins da Silva,Matusalém Alves Oliveira,Filosofia
A Ponte: interligando a educação básica e o ensino superior no Ensino de Ciências e Biologia,UFSC,Leandro Duso,Andre Luis Franco da Rocha,Educação
A Pós-modernidade: teorias e condição pós-moderna,UFSM,Holgonsi Soares Gonçalves Siqueira,,Sociologia
A preservação de acervos escultóricos,UFRJ,Benvinda de Jesus Ferreira Ribeiro,,Artes
A Problemática do Controle na Hipertensão Arterial,USP,Angela Maria Geraldo Pierin,,Enfermagem
A produção do espaço e constituição das centralidades periféricas :os novos conteúdos da relação centro periferia,USP,Gloria da Anunciacao Alves,,Geografia
A Produção do Espaço Urbano e Arquitetônico da Amazônia,UFAM,Roger Pamponet da Fonseca,Caren Michels,Arquitetura e Urbanismo
A Proposta Multirrede-Discursiva: componentes e lineamentos para a formação em línguas (materna e estrangeiras),UnB,Yamilka Rabasa Fernandez,Silvana Mabel Serrani,Letras
A proposta pedagógica de Rudolf Steiner: contribuições para a educação contemporânea,UFTM,Jonas Bach Junior,,Educação
A proteção constitucional das pessoas com deficiência,PUC/SP,Luiz Alberto David Araujo,Marcos de Lima Porta,Direito
A PROTECAO DA PESSOA HUMANA NA SOCIEDADE DE INFORMACAO,UFF,Plinio Lacerda Martins,Guilherme Magalhães Martins,Direito
A proteção da qualidade da Educação Jurídica brasileira,MACKENZIE,Larissa Dias Puerta de Miranda Freire,,Direito
A Proteção do Consumidor como Direito Fundamental,FESMP/RS,Cristina Stringari Pasqual,,Direito
A Proteção Jurídica do Investimento Privado,PUC/SP,Marcelo Guedes Nunes,Fábio Ulhoa Coelho,Direito
A proteção social no Estado Contemporâneo,UERJ,Fábio Zambitte Ibrahim,Marcelo Leonardo Tavares,Direito
A psicanálise aplicada à saúde mental e aos dispositivos clínicos no setor público,UERJ,Vinicius Anciães Darriba,Marcos Vinícius Brunhari,Psicologia
A psicanálise e seu diálogo com a cultura,UERJ,Marco Antonio Coutinho Jorge,Luciana Ribeiro Marques,Psicologia
A psicanálise na contemporaneidade,UFMS,Rosilene Caramalac,,Psicologia
"A QUESTÃO AGRÁRIA, CAMPESINATO E O USO DE AGROTÓXICOS NO BRASIL",USP,Larissa Mies Bombardi,Bernadete Maria Coêlho Freitas,Geografia
A questão da Liberdade na ÉTICA de Benedictus de Spinoza,UECE,Emanuel Angelo da Rocha Fragoso,Carlos Wagner Benevides Gomes,Filosofia
A Questão de Deus,PUC/SP,Donizete José Xavier,,Teologia
A química dos opiliões,USP,Miriam Sannomiya,,Química
A química e potencial biológico de espécies de plantas do cerrado,USP,Miriam Sannomiya,,Química
A recepção crítica de Darcy Ribeiro na América Latina,UFMG,Haydée Ribeiro Coelho,,Letras
A recepção da Reforma litúrgica e o debate litúrgico-sacramental contemporâneo,FAJE,Washington Paranhos,,Teologia
"A rede modelada: arte, arquitetura, arte cerâmica, economia e sociedade",UFRJ,Katia Correia Gorini,Andréa de Lacerda Pessôa Borde,Artes
"A Regulação Contemporânea do Direito de Propriedade Empresarial e Estado, Modelo Econômico e Apropriação de Bens na Sociedade Pós-Moderna",UNICURITIBA,Francisco Cardozo Oliveira,,Direito
A Regulamentação Internacional e a Arbitragem dos Investimentos e do Comércio de Serviços e Meio Ambiente,UNESP,Jete Jane Fiorati,Elisabete Maniglia,Direito
A relação entre Fenomenologia e Ontopsicologia: perspectivas epistemológicas,AMF,Bruno Fleck da Silva,,Filosofia
A relação entre política criminal e o discurso jurídico-penal,UFRJ,Antonio José Teixeira Martins,,Direito
"A Renascença Inglesa de John Milton em Contracena: Leituras, Releituras e Desleituras",UFMG,Luiz Fernando Ferreira Sá,Miriam Piedade Mansur Andrade,Letras
A RENORMALIZATION GROUP APPROACH TO HIGHER ORDER CORRECTIONS TO THE DECAY OF SOLUTIONS TO NONLINEAR INTEGRAL EQUATIONS,UFOP,Antonio Marcos da Silva,,Matemática
A Saúde Mental e A Prática Entre Vários,UFPB,Zaeth Aguiar do Nascimento,Cynara Teixeira Ribeiro,Saúde Coletiva
A SAÚDE MENTAL E OS PROCESSOS PSICOSSOCIAIS NA PÓS-MODERNIDADE.,UEPA,José Augusto Carvalho de Araújo,Mário Antônio Moraes Vieira,Enfermagem
A Segunda Escravidão e a Civilização Imperial Oitocentista. Cultura Material e Cultura Política,UNIRIO,Ricardo Henrique Salles,Rafael de Bivar Marquese,História
A segurança jurídica no direito privado,UNIMES,Alessandro Hirata,,Direito
A SEGURANÇA PESSOAL COMO DIREITO HUMANO E A (IN)SEGURANÇA PÚBLICA NO MATO GROSSO,UNEMAT,Danilo Pires Atala,,Direito
A semântica das línguas naturais,UESPI,Nize da Rocha Santos Paraguassu Martins,,Lingüística
A senescência e a senilidade: desafios no cuidar em saúde.,USP,Suely Itsuko Ciosak,,Enfermagem
A SIMBIOSE ENTRE O PÚBLICO E O PRIVADO: os limites da ingerência estatal no âmbito das relações privadas,UFRJ,Andréia Fernandes de Almeida Rangel,Laone Lago,Direito
A Sociedade Civil e o Estado de Direito: Mutações e Desenvolvimento,IBMEC,Getúlio Nascimento Braga Júnior,Marcelo Machado Costa Lima,Direito
A sociologia figuracional de Norbert Elias,UNIFESP,Tatiana Savoia Landini,,Sociologia
A sociologia figuracional de Norbert Elias,UNIFESP,Tatiana Savoia Landini,,Sociologia
A sustentabilidade da água no DF à luz do Fórum Mundial da Água.,IESB,Paulo José Leite Farias,Diogo Palau Flores dos Santos,Direito
A Sustentabilidade em Arquitetura e Urbanismo,UnB,Marta Adriana Bustos Romero,Caio Frederico e Silva,Arquitetura e Urbanismo
A Temática Ambiental e o Processo Educativo,UNESP,Luiz Marcelo de Carvalho,Rosa Maria Feiteiro Cavalari,Educação
A teologia de Joseph Ratzinger e o Magistério de Bento XVI,PUC-Rio,Antonio Luiz Catelan Ferreira,Rudy Albino de Assunção,Teologia
A TEORIA DA ADEQUAÇÃO SOCIAL DA CONDUTA: PROGNOSE POSTERIOR OBJETIVA DO RISCO PERMITIDO,ARIC,Cláudio Roberto Cintra Bezerra Brandão,,Direito
A Teoria Histórico-Cultural para o Ensino e Aprendizagem,UFMS,Armando Marino Filho,Regina Aparecida Marques de Souza,Educação
A tradição literária italiana,USP,Maria Cecilia Casini,,Letras
A tradução como ferramenta de resistência e inclusão,UnB,Alessandra Ramos de Oliveira Harden,Norma Diana Hamilton,Letras
A trajetória do cuidado de enfermagem em espaços especializados,UFRJ,Antonio José de Almeida-Filho,,Enfermagem
A transformação do Direito do Trabalho na sociedade pós-moderna e seus reflexos no mundo do trabalho,USP,Jair Aparecido Cardoso,,Direito
A transmissão da psicanálise através do teatro,UVA/RJ,Vera Pollo,,Psicologia
A Tributação sobre a Renda,USP,Luís Eduardo Schoueri,André Mendes Moreira,Direito
A Tributação sobre a Renda,UFMG,André Mendes Moreira,Luís Eduardo Schoueri,Direito
A Tributação sobre as Operações envolvendo Criptoativos,USP,Luís Eduardo Schoueri,Felipe Kertesz Renault Pinto,Direito
"A TUTELA DA SUPRAINDIVIDUALIDADE, E DA ORDEM ECONÔMICA, EM UMA PERSPECTIVA CONSTITUCIONALIZADA DA INTERVENÇÃO PUNITIVA",FMC,Luciano Santos Lopes,,Direito
A tutela específica do idoso à luz da Constituição Federal e do Direito Internacional no segmento dos direitos humanos e da personalidade,UERJ,Guilherme Calmon Nogueira da Gama,,Direito
A tutela jurídica dos vulneráveis nos espaços privados sob a ordem constitucional solidária.,UFRJ,Fabiana Rodrigues Barletta,,Direito
"A Vida das Ideias: Sociedade, Democracia e Direitos Humanos",FECAP,Jésus de Lisboa Gomes,Augusto Dutra Galery,Administração
A voz e o olhar do Outro: questões de gênero e etnia nas literaturas de língua inglesa,UERJ,Leila Assumpção Harris,Maria Aparecida Ferreira de Andrade Salgueiro,Letras
A voz escrita infantil e juvenil: práticas discursivas,PUC/SP,Maria José Pereira Gordo Palo,Juliana Gonçalves Mutafi,Letras
A&C Verde - Arquitetura e Construção Verde,INPA,Ruy Alexandre de Sá Ribeiro,,Engenharia Civil
"A-LEX: direito, cultura, distopia",UNIVEL,André Karam Trindade,,Direito
A. SERTILLANGES,UNIR,Marcelo Vergotti,,Educação
"A.G.I - Análise, Gestão e Indicadores em Propriedade Intelectual",UFPI,Eliciana Selvina Ferreira Mendes Vieira,Jefferson Mendes de Souza,Administração
A.T.A.,UFSJ,Adriana Gomes do Nascimento,Fabíola Arantes de Morais,Artes
Ábaco,IFSP,Luciana Brasil Rebelo dos Santos,Lucas Venezian Povoa,Ciência da Computação
ABAIARA - GRUPO DE ESTUDOS INDÍGENAS DA PARAÍBA,UFPB,Cláudia Cristina do Lago Borges,Vânia Cristina da Silva,História
ABC da Educação,USCS,Marco Wandercil da Silva,,Educação
"ABCSim - Grupo de Simulação e Modelagem de Átomos, Moléculas e Matéria Condensada",UFABC,Paula Homem-de-Mello,,Física
Abelhas no Semiárido,UFCG,Patrício Borges Maracajá,Aline Carla de Medeiros,Zootecnia
Abertura de novos fronts agropecuários e transformações socioespaciais nas Regiões Araguaia e Amazônica,UFMT,Hidelberto de Sousa Ribeiro,Valéria Márcia Queiroz,Sociologia
Abolição - Grupo de pesquisa e extensão em antropologia,UFES,Sandro José da Silva,,Antropologia
Abordagem dos sistemas complexos no esporte e na saúde / Complex System approach in sport and health,UFVJM,Luciana De Michelis Mendonça,Natalia Franco Netto Bittencourt,Fisioterapia e Terapia Ocupacional
Abordagem dos sistemas complexos no esporte e na saúde / Complex System approach in sport and health,UFMG,Luciana De Michelis Mendonça,Natalia Franco Netto Bittencourt,Fisioterapia e Terapia Ocupacional
Abordagem funcional e multiprofissional em Gerontologia,UFSCAR,Juliana Hotta Ansai,Karina Gramani Say,Saúde Coletiva
Abordagem Histórico-Cultural em Vygotsky e as Contribuições para a Educação,UFMT,Hidelberto de Sousa Ribeiro,Marilene Marzari,Educação
"Abordagem histórico-cultural, oralidades e práticas sociais",UFF,Luiza Rodrigues de Oliveira,Rose Mary Latini,Psicologia
Abordagem interprofissional de Urgências em Idosos Frágeis,USP,Luiz Eugênio Garcez Leme,Márlon Juliano Romero Aliberti,Medicina
ABORDAGEM MULTIDISCIPLINAR VISANDO À CONSERVAÇÃO IN VITRO DE GERMOPLASMA VEGETAL,UERJ,Rachel Fátima Gagliardi Araujo,,Biotecnologia
ABORDAGEM PREVENTIVA DO ENVELHECIMENTO E COMPLICAÇÕES TARDIAS EM PESSOAS VIVENDO COM HIV,UFPE,Heloísa Ramos Lacerda de Melo,,Medicina
"Abordagens biopsicossociais e interdisciplinares para promoção da saúde, prevenção e tratamento de doenças crônicas nos diferentes níveis de atenção à saúde e ciclos da vida humana",UNISUAM,Renato Santos de Almeida,,Saúde Coletiva
Abordagens computacionais para seleção de alvos e desenho de fármacos baseado na estrutura.,ICESP,Rosângela Silqueira Hickson Rios,Laila Alves Nahum,Ciência da Computação
Abordagens de textos literários na escola,UFCG,José Hélder Pinheiro Alves,Naelza de Araújo Wanderley,Letras
Abordagens e referenciais para o ensino-aprendizagem de matemática,UTFPR,Nilcéia Aparecida Maciel Pinheiro,Sani de Carvalho Rutz da Silva,Educação
Abordagens Educacionais para Apoio aos Transtornos do Neurodesenvolvimento na Educação Básica,UNIVAG,Tâmara de Andrade Lindau,Jorge Eto,Educação
Abordagens empíricas sobre o processo brasileiro,UVA/RJ,Bárbara Gomes Lupetti Baptista,,Direito
Abordagens in silico para descoberta de moléculas bioativas,UEFS,Manoelito Coelho dos Santos Junior,,Farmácia
Abordagens Metodológicas de Pesquisa Qualitativa na Área da Saúde,UNESP,Silvia Cristina Mangini Bocchi,Regina Célia Popim,Enfermagem
Abordagens Metodológicas para o Ensino e Aprendizagem em Ciências,UFPE,Roberto Araújo Sá,Josinês Barbosa Rabelo,Química
Abordagens Multimodais do Câncer,FCECON,Lia Mizobe Ono,Maria Carolina Coutinho Xavier Soares,Medicina
Abordagens Multimodais do Procedimento Cirurgico,UEA,Sidney Raimundo Silva Chalub,,Medicina
Abordagens para Inovação Organizacional,UNIMAR,José Osvaldo De Sordi,Carlos Francisco Bitencourt Jorge,Administração
Abordagens Sociológicas do Processo Saúde e Doença,UFRJ,Elaine Reis Brandão,Jaqueline Teresinha Ferreira,Saúde Coletiva
Abordagens sociológicas do processo saúde e doença,UFRJ,Elaine Reis Brandão,Jaqueline Teresinha Ferreira,Antropologia
ABORDAGENS TECNOLÓGICAS NA ARQUEOLOGIA,UNIVASF,Leandro Surya Carvalho de Oliveira Silva,Grégoire André Henri Marie Ghislain Van Havre,Arqueologia
Abordagens Tecnológicas na Educação,FUMEC,Fábio Corrêa,,Ciência da Informação
Academia Celeste - Estudos em Cosmologia e Ãtica,UFF,Marcus Reis Pinheiro,Cristina de Amorim Machado,Filosofia
Academia de curadoria - laboratório de práticas curatoriais e crítica de arte,UnB,Ana Cândida Franceschini de Avelar Fernandes,,Artes
Academia do Peixe Frito: rebeldia e negritude no Norte do Brasil,UNAMA,Paulo Jorge Martins Nunes,Vânia Maria Torres Costa,Comunicação
AcademIA GPT para docentes,UFERSA,Raphaela Vasconcelos Gomes Barreto,,Educação
"Academicus: planejamento, gestão e inovação em Turismo",IFS,Lício Valério Lima Vieira,Cristiane Alcântara de Jesus Santos,Turismo
Ação de bactérias entomopatógenas em culicídeos e resistência,FIOCRUZ,Maria Helena Neves Lobo Silva Filha,,Parasitologia
AÇÃO DE FÁRMACOS SOBRE O PERIODONTO. AVALIAÇÕES EXPERIMENTAIS.,UNESP,Luis Carlos Spolidorio,Denise Madalena Palomari Spolidorio,Odontologia
Ação e Metafísica em Platão e Aristóteles,UFOP,Gabriel Geller Xavier,Guilherme Domingues da Motta,Filosofia
Ação Interdisciplinar Covid-19,UFABC,José Paulo Guedes Pinto,Patrícia Camargo Magalhães,Divulgação Científica
"Ação Popular - Mecanismo de Defesa dos Direitos Fundamentais, a evolução do instituto e seus pontos polêmicos",FUIT,Luiz Manoel Gomes Junior,Luana Pedrosa de Figueiredo Cruz,Direito
"ACAREAMENTO DE EXPRESSÕES CONTÁBEIS UTILIZADAS COM O TERMO ""TEORIA""",UNEAL,Marcelo Moreira da Silva,,Administração
"AcaroLab - Laboratório de Acarologia da Unesp, câmpus de Jaboticabal",UNESP,Daniel Júnior de Andrade,,Agronomia
Acarologia Agrícola,UFPEL,Uemerson Silva da Cunha,,Agronomia
Acarologia Agrícola,IB,Mário Eidi Sato,Andre Luiz Matioli,Agronomia
Acarologia Veterinária,UFRRJ,Joao Luiz Horacio Faccini,Kátia Maria Famadas,Medicina Veterinária
"ACCORDE: Arte, Corpo, Cotidiano e Decolonialidade",UFTM,Heliana Castro Alves,Claudia Franco Monteiro,Sociologia
ACE - Advanced Communication and English,UNESP,Marcelo Concário,,Lingüística
Acervo de Escritores Sulinos,PUCRS,Regina Kohlrausch,Maria Eunice Moreira,Letras
Acervo Povos Indígenas no Tocantins,UFT,Marcelo de Souza Cleto,,Antropologia
Acervo Público de Arquitetura e Urbanismo em Santa Catarina,UFSC,Karine Daufenbach,,Arquitetura e Urbanismo
Acervos de Arte Contemporânea e o Campo das Artes Visuais,UFPB,Carmen Silvia Maia de Paiva,Sabrina Fernandes Melo,Artes
Acervos e memória da ciência e da tecnologia em saúde,FIOCRUZ,Paulo Roberto Elian dos Santos,Ana Luce Girão Soares de Lima,Ciência da Informação
Acervos Fotográficos,UnB,André Porto Ancona Lopez,Telma Campanha de Carvalho Madio,Ciência da Informação
"ACERVOS PRIVADOS E PESSOAIS: MEMÓRIAS, POLÍTICAS E PATRIMÔNIO (GRUPO APP)",UNIRIO,Patricia Ladeira Penna Macêdo,Renato Crivelli Duarte,Ciência da Informação
